MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
373285000,2023-01-19T00:00:04,34.47837,-121.36836,18.8,96.1,96,EVER FRONT,IMO9850549,H3TM,74,Under way using its engine,334,48,13.9,74,A
367678830,2023-01-19T00:00:04,31.00573,-91.71716,0,248.3,182,KIMBERLY ANN,,WDI2502,31,Power-driven vessel pushing ahead/towing alongside,28,9,,31,A
413349650,2023-01-19T00:00:05,34.10596,-119.55739,9.9,105.6,104,LIAN HUAN HU,IMO9747089,BOEY,80,Under way using its engine,183,32,8.3,80,A
247385300,2023-01-19T00:00:05,17.1969,-67.32801,6,274.5,276,AIDAPERLA,IMO9636967,IBRL,60,Under way using its engine,300,48,8.3,60,A
367513230,2023-01-19T00:00:06,45.55181,-122.2371,6.8,65.9,62,WILLAMETTE,IMO8972998,WDG2204,31,Under way using its engine,26,10,,52,A
636015112,2023-01-19T00:00:07,28.16295,-89.48319,0.1,80,160,GLOBETROTTER II,IMO9600786,A8YR2,90,Has restricted maneuverability,189,32,16,90,A
367072840,2023-01-19T00:00:01,29.56814,-90.72021,0,347.9,220,KELLY MORRISON,IMO8216485,WDC7532,90,Under way using its engine,54,12,3.7,34,A
367400840,2023-01-19T00:00:03,29.92264,-90.07065,102.3,360,58,DRY TORTUGAS,IMO9585089,WDE8043,90,Under way using its engine,49,12,3.7,79,A
367710540,2023-01-19T00:00:04,30.02698,-90.03134,0,312.3,73,AMERICA,,WDI5630,60,Moored (tied to another object to limit free movement),,,,60,A
538010083,2023-01-19T00:00:07,36.80699,-76.29015,3,183.6,194,PORT OSHIMA,IMO9932804,V7A5572,70,Under way using its engine,200,32,7,70,A
366963460,2023-01-19T00:00:00,37.07595,-89.16493,5.6,33.5,511,R CLAYTON MCWHORTER,,WDB8740,31,Power-driven vessel pushing ahead/towing alongside,39,12,,57,A
367301450,2023-01-19T00:00:00,45.58084,-122.75979,0,278.3,121,GRIZZLY,,WDD8688,31,Undefined,28,7,,31,A
367570920,2023-01-19T00:00:03,29.61329,-89.88746,5,300.3,511,UNCLE JOHN,,WDG7795,31,Under way using its engine,18,7,,0,A
366851680,2023-01-19T00:00:00,40.7761,-74.00996,5.2,126.1,511,SEN FRANK LAUTENBERG,,WDA8191,60,Moored (tied to another object to limit free movement),23,8,,60,A
366744020,2023-01-19T00:00:04,40.69976,-74.15221,0,347.9,38,MARY ALICE,IMO7402738,WCX9570,31,Power-driven vessel pushing ahead/towing alongside,30,8,3.6,31,A
368119390,2023-01-19T00:00:02,36.18618,-86.83118,0.1,273.7,173,JESSE A MOLLINEAUX,,WDL3213,31,Power-driven vessel pushing ahead/towing alongside,24,10,3.3,31,A
367503920,2023-01-19T00:00:03,29.76809,-95.10161,0,340.6,511,BROOKE BANTA,,WDF9317,31,Undefined,21,8,,52,A
368284050,2023-01-19T00:00:00,28.86604,-95.45826,0.2,115.4,87,BRONCO,IMO1327838,WDN4770,57,Under way using its engine,23,11,0,57,A
367162750,2023-01-19T00:00:02,29.87851,-89.8994,0,270.8,511,MISS LOUISE,,WDD5732,60,Undefined,15,4,,30,A
368119660,2023-01-19T00:00:02,40.58982,-74.20606,3.8,201.9,194,CHARLESTON,IMO1292926,WDL3238,57,Power-driven vessel pushing ahead/towing alongside,30,10,4.4,57,A
316024578,2023-01-19T00:00:00,49.18072,-123.18278,0.1,27,121,CCGH MOYTEL,IMO4908420,CFN6498,90,Under way using its engine,28,12,,51,A
316022036,2023-01-19T00:00:01,49.20298,-122.90413,3.8,227.7,511,QUADRANT WARRIOR,,,31,Under way using its engine,11,4,0.9,99,A
538005554,2023-01-19T00:00:01,27.79763,-96.40317,2.4,107.1,115,STORHOLMEN,IMO9436408,V7RU6,80,Under way using its engine,143,22,9,80,A
538007035,2023-01-19T00:00:02,29.65031,-89.95695,12,159,151,STENAWECO ELEGANCE,IMO9776470,V7UP6,80,Under way using its engine,,,,80,A
366891140,2023-01-19T00:00:02,30.02087,-94.02455,9.2,121.4,117,MEREDITH C REINAUER,IMO9269037,WDB3775,31,Under way using its engine,37,12,5.8,52,A
371558000,2023-01-19T00:00:04,29.93592,-90.35699,13.8,102.7,102,DONG-A MAIA,IMO9749544,3FBD3,89,Under way using its engine,250,44,12,89,A
368221490,2023-01-19T00:00:04,29.42762,-94.7186,0,13.4,511,ANDREW WALSH,IMO1216597,WDM6025,52,Power-driven vessel pushing ahead/towing alongside,27,10,3.3,57,A
538006205,2023-01-19T00:00:05,29.96789,-90.26296,0.2,119.1,261,ANDROS ISLAND,IMO9720304,V7KT6,70,Under way using its engine,199,,,70,A
205686000,2023-01-19T00:00:05,33.75625,-118.21819,0,297.6,339,ALICE,IMO9709087,ONIM,80,Moored (tied to another object to limit free movement),333,60,19.5,80,A
338093777,2023-01-19T00:00:05,33.74065,-118.27829,0,64,511,LA FIREBOAT 2,IMO9271535,,90,Under way using its engine,32,8,4.8,51,A
368061910,2023-01-19T00:00:06,30.11471,-91.00073,3,261.8,511,BARBARA,,WDK5119,52,Under way using its engine,24,8,0,52,A
366862680,2023-01-19T00:00:00,37.73669,-122.34098,7.2,136.1,511,BAYCAT,,WDA9210,31,Under way using its engine,16,6,,52,A
366984320,2023-01-19T00:00:02,34.10281,-90.9348,9.7,119,126,CRIMSON GEM,,WDB9875,31,Power-driven vessel pushing ahead/towing alongside,59,16,,57,A
367491710,2023-01-19T00:00:03,30.37113,-88.56449,0,360,511,SIGNET LEGEND,,WDF8130,31,Under way using its engine,17,7,,31,A
367400740,2023-01-19T00:00:04,30.38906,-81.54004,0.1,315.4,511,CATHLEEN E MORAN,IMO6608684,WDE8034,31,Under way using its engine,31,8,4.7,31,A
477002200,2023-01-19T00:00:00,31.99577,-80.24178,0,134.3,232,YM WIND,IMO9708461,VRPE6,71,Anchored,368,51,13.6,71,A
367532850,2023-01-19T00:00:00,36.05049,-89.67858,0.1,313.5,9,CAMILLE B BARRETT,IMO8836663,WDG4089,31,Undefined,59,16,,57,A
636016978,2023-01-19T00:00:01,33.11717,-78.24135,13,239.9,241,MSC TAVVISHI,IMO9189366,D5IR7,70,Under way using its engine,278,40,11.2,70,A
368006860,2023-01-19T00:00:03,29.9535,-90.01981,0.1,90,299,LIZ HEALY,IMO9840685,WDJ7456,31,Under way using its engine,,,,31,A
367465960,2023-01-19T00:00:05,30.27555,-88.63062,6.5,139.6,511,CROSBY CARRIER,,WDF5669,31,Under way using its engine,19,8,,31,A
367649630,2023-01-19T00:00:06,41.72454,-87.54012,0,234.3,511,MASSACHUSETTS,,WDH7590,31,Undefined,24,6,,99,A
366916960,2023-01-19T00:00:01,33.94998,-91.05978,5,88,10,BILL STEGBAUER,,WCW2551,31,Power-driven vessel pushing ahead/towing alongside,39,12,,31,A
368157020,2023-01-19T00:00:02,38.95862,-74.87646,0,334.4,511,CAPT DANNY,,WDL7090,30,Undefined,27,7,0,30,A
367097970,2023-01-19T00:00:02,39.24823,-76.57331,0,248.5,511,CRYSTAL COAST,,WDC9132,31,Under way using its engine,20,7,,52,A
366993270,2023-01-19T00:00:05,29.73082,-95.01938,0,183.7,185,DANIELLE GUIDRY,,WDC2442,31,Under way using its engine,16,6,,57,A
367057220,2023-01-19T00:00:00,38.85783,-90.12672,0.1,224,313,NORMANIA,,WDC6501,31,Under way sailing,26,9,,31,A
366344650,2023-01-19T00:00:02,47.33521,-122.5884,0,360,511,SEA FURY,,WBL7992,30,,15,4,,,B
367638210,2023-01-19T00:00:01,38.58038,-90.21592,7.1,238,233,THOMAS E ERICKSON,,WDH6461,31,Power-driven vessel pushing ahead/towing alongside,38,13,,57,A
369970762,2023-01-19T00:00:03,32.68702,-117.23597,0.1,189.4,246,RSC-1,,,35,Moored (tied to another object to limit free movement),,,,35,A
636015710,2023-01-19T00:00:03,36.92316,-76.33904,6.9,179.2,180,KYRA PANAGHIA,IMO9647277,D5CI9,70,Under way using its engine,199,32,13.3,79,A
367465980,2023-01-19T00:00:06,29.59908,-90.67199,0,309.7,511,CROSBY TIDE,,WDF5671,31,Under way using its engine,17,8,,31,A
366972950,2023-01-19T00:00:04,29.7821,-95.09982,0.9,356.8,357,FRANCES M DEVALL,,WQZ6719,31,Under way using its engine,19,7,,31,A
367695280,2023-01-19T00:00:01,31.15325,-87.97273,3.4,325.6,329,TOMMIE'S TERMINAL,,WDI4114,31,Power-driven vessel pushing ahead/towing alongside,24,9,,57,A
367354360,2023-01-19T00:00:06,41.28067,-72.09533,12.3,37,35,CAPE HENLOPEN,IMO5381978,WM5958,60,Under way using its engine,96,15,3,60,A
366998130,2023-01-19T00:00:07,30.02223,-90.47562,0.1,118,511,TAYLOR MARIE,IMO8635930,WDC2822,31,Power-driven vessel pushing ahead/towing alongside,20,7,,57,A
366939130,2023-01-19T00:00:00,29.61533,-94.97313,0,354.1,511,GERARD D,,WTG3761,31,Power-driven vessel pushing ahead/towing alongside,18,7,,52,A
367400370,2023-01-19T00:00:01,44.38284,-124.30408,4.2,164.2,136,GEORGIA LEE,,WDE8006,37,Engaged in fishing,18,7,,30,A
366939710,2023-01-19T00:00:04,40.68522,-74.13935,0,204.4,332,MIRIAM MORAN,IMO7908146,WQZ6572,31,Under way using its engine,30,9,3.9,52,A
316001252,2023-01-19T00:00:05,48.82075,-123.2916,11.7,110.2,111,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60,Under way using its engine,96,21,3.8,60,A
367394940,2023-01-19T00:00:06,28.41571,-80.62337,0,303.6,180,ESCAMBIA,IMO9190951,WDE7575,31,Under way using its engine,27,15,1.6,31,A
368122350,2023-01-19T00:00:00,21.32174,-158.1171,0,360,511,TIGER22-,,WDL3512,99,Under way using its engine,0,0,0,99,A
352142000,2023-01-19T00:00:00,30.3886,-81.1988,9.8,103.4,105,PARADISE ACE,IMO9293648,H9CL,70,Under way using its engine,199,32,9.7,70,A
368039060,2023-01-19T00:00:02,29.46738,-94.64612,4.5,67.8,71,DANIELLE CHRISTINA,IMO1278453,WDK2800,57,Power-driven vessel pushing ahead/towing alongside,205,18,3.1,57,A
367635370,2023-01-19T00:00:03,41.83978,-87.67932,6.3,64.7,511,SYDNEY REESE,,WDH6184,31,Power-driven vessel pushing ahead/towing alongside,22,,,57,A
368045260,2023-01-19T00:00:06,29.8683,-90.0685,0.1,248.1,511,SARAH PAIGE,,WDK3438,52,Undefined,21,9,0,52,A
367614930,2023-01-19T00:00:00,29.93727,-90.00341,0,302.7,304,NOLAN RHODES,,WDH4174,31,Power-driven vessel pushing ahead/towing alongside,25,,,57,A
316027734,2023-01-19T00:00:04,49.29437,-122.9354,5.3,269,511,VFPA5,,CFK5370,53,Under way using its engine,13,3,1.8,53,A
366988260,2023-01-19T00:00:06,29.30182,-94.83611,3.3,345,511,MARIE M MORGAN,,WTD8936,31,Under way using its engine,17,7,,31,A
366793760,2023-01-19T00:00:01,32.71489,-117.17378,0.7,88,511,ADVENTURE HORNBLOWER,,WDA3017,60,Under way using its engine,43,10,,60,A
368077530,2023-01-19T00:00:03,41.59669,-88.06518,0,246,185,AGGIE C,,WDK6734,31,Undefined,25,9,2.7,31,A
538001648,2023-01-19T00:00:03,32.88779,-77.61179,1,126.8,142,DURABLE,IMO9242376,V7DI8,90,Has restricted maneuverability,140,21,7.8,90,A
316013007,2023-01-19T00:00:04,44.2326,-76.47704,0,227.9,101,WOLFE ISLANDER III,IMO7423079,VA3418,90,Under way using its engine,62,20,2.3,60,A
366938440,2023-01-19T00:00:04,30.27196,-91.12691,9.3,296.6,297,JEAN TURECAMO,IMO7501077,WDB7213,31,Undefined,32,9,4.2,52,A
367512340,2023-01-19T00:00:06,30.17052,-91.0022,0,309.7,511,CSS TEXAS,,WDG2121,31,Power-driven vessel pushing ahead/towing alongside,23,,,31,A
367182730,2023-01-19T00:00:06,27.85264,-97.1728,0,271.7,511,MR THOMAS,,WDD7163,31,Under way using its engine,19,7,,52,A
369494407,2023-01-19T00:00:07,38.94854,-74.88969,0,26.2,344,CG49407,,,90,Under way using its engine,14,,,51,A
366953910,2023-01-19T00:00:00,36.29719,-89.58612,3.3,261,284,EILEEN BIGELOW,,WDB8154,31,Undefined,38,15,,57,A
367442390,2023-01-19T00:00:00,29.34237,-94.68638,23.8,297.2,299,YELLOW ROSE,,WDF3650,50,Under way using its engine,21,5,,50,A
338926424,2023-01-19T00:00:00,19.818,-156.25912,9.4,211.2,208,CG OLIVER BERRY,,NOBY,90,Under way using its engine,,,,55,A
367503760,2023-01-19T00:00:02,29.40011,-94.75296,0.1,90,226,WES SELLARS,,WDF9302,31,Power-driven vessel pushing ahead/towing alongside,26,9,,31,A
367732690,2023-01-19T00:00:02,39.82662,-75.38353,0.1,360,511,KATIE LYNN,,WDI7836,60,Undefined,13,5,0,60,A
367579120,2023-01-19T00:00:03,29.32157,-94.78365,0,290.7,511,TERRY FONTENOT,,WDG8590,31,Under way using its engine,16,7,,52,A
366972270,2023-01-19T00:00:01,29.99584,-93.947,0.1,302.8,511,CAPT AL DEVALL,,WCW9164,31,Under way using its engine,16,6,,31,A
367357320,2023-01-19T00:00:03,30.80221,-81.51778,0,360,511,C-TRACTOR 3,IMO8835164,WBX3589,70,Under way using its engine,29,11,3.3,31,A
367519320,2023-01-19T00:00:03,29.46963,-94.8542,7.6,156.2,511,FATHER PAT,,WDG2791,31,Power-driven vessel pushing ahead/towing alongside,23,,,57,A
366752720,2023-01-19T00:00:04,42.45466,-70.94788,0.1,146,511,AMERICAN CLASSIC,IMO1068050,WCY5466,0,Undefined,31,10,0,0,A
367756350,2023-01-19T00:00:04,36.89614,-76.33719,10.5,347.7,350,MAXWELL PAUL MORAN,IMO9812559,WDJ2221,31,Under way using its engine,,,,52,A
367479560,2023-01-19T00:00:05,29.99183,-93.93712,0,142,117,FLORIDA,IMO9031179,WDM2091,52,Under way using its engine,25,10,4,52,A
366508000,2023-01-19T00:00:05,45.65988,-122.76611,9.9,342.9,341,OVERSEAS MARTINEZ,IMO9353589,WPAJ,80,Under way using its engine,183,32,12.2,80,A
367792310,2023-01-19T00:00:05,30.05956,-93.43477,5.5,270.4,270,KYLIE BROWN,,WDJ5894,31,Power-driven vessel pushing ahead/towing alongside,,,,57,A
367319330,2023-01-19T00:00:06,38.4034,-82.55599,0,122.5,511,MATTHEW T,IMO8851352,WDE2022,31,Undefined,17,6,,31,A
566819000,2023-01-19T00:00:07,27.92383,-82.42245,0,266.3,313,CERULEAN,IMO9655169,9V9934,70,Under way using its engine,167,26,10.5,70,A
368134280,2023-01-19T00:00:00,41.32847,-88.75583,0.7,267.9,511,ELYSE NOELLE,,WDL4732,0,Under way using its engine,8,8,1,0,A
368063930,2023-01-19T00:00:02,40.77758,-73.94196,0,272.4,211,RAINBOW CRUISE,IMO1288464,WDK5339,60,Under way using its engine,29,10,0,60,A
368013670,2023-01-19T00:00:03,30.71064,-88.04373,0,89.6,511,LEWIS REED,IMO0001082,WDJ8158,52,Undefined,20,9,3.4,52,A
367312950,2023-01-19T00:00:04,29.63916,-91.11472,0,360,511,NICHOLAS D,,WDD9546,31,Undefined,16,7,,31,A
368067780,2023-01-19T00:00:04,41.49159,-81.7177,0,205.3,511,OHIO,,WDK5734,52,Undefined,18,7,0,52,A
366966650,2023-01-19T00:00:05,36.84091,-76.27187,0,145.6,15,JAMES R MORAN,IMO9327267,WDB8932,31,Under way using its engine,28,9,3.4,0,A
368045710,2023-01-19T00:00:00,47.55557,-122.34547,0,0,78,LUTHER,IMO7427477,WDK3484,31,Under way using its engine,35,10,3.3,31,A
367155110,2023-01-19T00:00:00,46.16718,-123.91803,0,181.8,511,CAPTAIN RALEIGH,IMO7937575,WDD5207,30,Undefined,20,6,,30,A
367321070,2023-01-19T00:00:02,38.83357,-82.1518,0,122.2,511,DREMA G WOODS,,WDE2147,31,Under way using its engine,32,8,,31,A
367796040,2023-01-19T00:00:04,40.68618,-74.07748,0,195.6,246,SEA FOX,IMO7129465,WDJ6265,31,Under way using its engine,22,7,,31,A
367379670,2023-01-19T00:00:04,39.21439,-76.57334,0,91.2,511,REID MCALLISTER,IMO9549530,WDE6394,31,Undefined,23,10,,90,A
367784160,2023-01-19T00:00:04,29.52374,-94.49247,6.4,61.3,511,MISS ANGELICA,,WDJ5086,31,Under way using its engine,16,6,,31,A
367477980,2023-01-19T00:00:06,36.79938,-76.29528,0,287.8,337,OYSTER CREEK,IMO9569451,WDF6802,31,Power-driven vessel pushing ahead/towing alongside,29,9,3.6,52,A
563127900,2023-01-19T00:00:06,32.49974,-74.83717,14.2,82.4,83,MAERSK ATHABASCA,IMO9398424,9V6814,71,Under way using its engine,334,43,10.2,71,A
316044556,2023-01-19T00:00:01,30.40163,-86.60643,0,360,511,JEMA,IMO0000000,VBA0205,37,,0,0,,,B
215744000,2023-01-19T00:00:01,29.74879,-90.01972,12.9,137.4,131,HELLAS CALAFIA,IMO9798088,9HA4441,80,Under way using its engine,183,32,10.1,80,A
367776410,2023-01-19T00:00:01,37.80653,-122.38563,16.2,222.3,511,SAMMY J,,WDJ4308,60,Under way using its engine,16,6,0.7,60,A
368161640,2023-01-19T00:00:01,34.39604,-90.60404,7.6,238.5,511,SANDRA HOLT,,WDL7597,57,Power-driven vessel pushing ahead/towing alongside,346,65,3.7,57,A
367384410,2023-01-19T00:00:02,26.09863,-80.16237,0,285.6,511,MARY P,,WDE6753,37,Under way using its engine,31,7,,37,A
316014836,2023-01-19T00:00:02,49.1225,-122.3252,5.3,279.8,273,OCEAN GAYLE,,,31,Under way using its engine,12,5,0.6,31,A
367510030,2023-01-19T00:00:03,29.64971,-93.13165,0.1,234.7,511,MS MEGGIE,IMO9373759,WDF9903,90,Under way using its engine,49,11,3,70,A
366988580,2023-01-19T00:00:04,38.53976,-90.25043,0,360,511,TERRY GIFFORD,,WDC2142,31,Under way using its engine,19,7,,57,A
538004480,2023-01-19T00:00:04,48.43104,-125.25904,12,58.9,61,KAIMON GALAXY,IMO9552472,V7XH3,80,Under way using its engine,159,27,10,82,A
369565000,2023-01-19T00:00:05,21.31557,-157.87729,0,62.5,212,KILO MOANA,IMO9229037,WDA7827,90,Moored (tied to another object to limit free movement),56,26,7.6,99,A
368124080,2023-01-19T00:00:06,33.18029,-117.40054,18.4,344.8,511,R/V BENTHIC CAT,IMO0000000,WDL3692,90,,13,6,,,B
367750650,2023-01-19T00:00:02,28.48105,-96.36299,5.7,64.4,66,MERLE GONSOULIN,,WDI9635,31,Moored (tied to another object to limit free movement),,,,57,A
369701000,2023-01-19T00:00:03,47.6707,-122.46746,21,190.7,191,MIDNIGHT SUN,IMO9232278,WAHG,70,Under way using its engine,255,35,9,70,A
249047000,2023-01-19T00:00:03,24.09348,-81.53638,15,62.7,65,CELEBRITY SUMMIT,IMO9192387,9HJC9,60,Under way using its engine,294,32,8,60,A
367583840,2023-01-19T00:00:06,41.62934,-88.0626,0,192.6,511,KIOWA,,WDG9056,31,Under way using its engine,21,,,31,A
367688320,2023-01-19T00:00:07,40.43568,-80.00581,0,360,511,DUCHESS,,WDI3438,60,Undefined,27,,,69,A
367003780,2023-01-19T00:00:00,29.64816,-94.27127,0.2,27.7,239,PHILIP,,WDF2430,31,Power-driven vessel pushing ahead/towing alongside,21,8,,57,A
367539090,2023-01-19T00:00:01,41.00015,-72.64622,0.1,284.6,250,B FRANKLIN REINAUER,IMO9653238,WDG4684,31,Moored (tied to another object to limit free movement),33,10,4.6,50,A
367737960,2023-01-19T00:00:02,29.94536,-90.17222,0.1,318.2,511,LOUISIANA MARINER,,WDI8374,31,Under way using its engine,,,,31,A
368092580,2023-01-19T00:00:02,40.69337,-74.01496,0,290.4,511,GOVERNORS1,,,60,Under way using its engine,39,12,2,60,A
367691010,2023-01-19T00:00:04,41.58684,-71.40986,0,107.2,109,WOODS HOLE,IMO9792931,WDI3700,60,Under way using its engine,71,,,60,A
367702040,2023-01-19T00:00:05,37.00904,-89.16439,0,64.1,140,CAPT BUCK LAY,,WDI4792,31,Under way using its engine,51,12,,31,A
367484260,2023-01-19T00:00:07,30.05896,-93.35489,0,133.4,162,SAVAGE HERITAGE,,WDF7414,31,Power-driven vessel pushing ahead/towing alongside,25,10,,52,A
367598970,2023-01-19T00:00:01,36.31956,-87.22064,0,68,314,BRENT ICE,,WDH2570,31,Power-driven vessel pushing ahead/towing alongside,35,,,57,A
389908000,2023-01-19T00:00:01,32.60795,-118.3321,15,269.9,511,INTREPID PATRIOT----,,NPBL---,0,Under way using its engine,205,18,25,0,A
366902260,2023-01-19T00:00:04,39.84569,-73.96887,6.4,197.7,201,CHRISTINE MCALLISTER,IMO7390985,WDB4780,31,Under way using its engine,39,11,5.6,52,A
367003590,2023-01-19T00:00:03,30.08766,-90.91304,0.1,174.8,346,CSS ATLANTA,,WDC3182,31,Undefined,18,7,,31,A
367059850,2023-01-19T00:00:04,29.39989,-89.2278,9.8,297.7,511,ANNETTE_ADAMS,,WDC6696,70,Under way using its engine,26,8,0,70,A
367037310,2023-01-19T00:00:05,41.49087,-71.32673,0.1,308,511,NORTHEAST PILOT IV,,WDC5192,31,Undefined,15,5,,0,A
367473520,2023-01-19T00:00:05,36.16029,-75.89157,6,3.2,359,ISLAND PILOT,,WDF6368,31,Power-driven vessel pushing ahead/towing alongside,19,7,,57,A
367620180,2023-01-19T00:00:06,29.24312,-95.01251,6.3,228.4,228,APACHE,IMO8851314,WDH4677,31,Power-driven vessel pushing ahead/towing alongside,19,7,,2,A
338203957,2023-01-19T00:00:05,25.74562,-80.17342,0,275.7,511,SHINE III,,,37,,11,,,,B
368212230,2023-01-19T00:00:07,30.70844,-88.04354,0,136.9,118,NIKE,,WDM5064,52,Undefined,30,14,0,52,A
367516470,2023-01-19T00:00:07,43.37203,-124.21033,0,360,511,OREGON ESCORT,IMO9153329,WDG2521,31,Under way using its engine,33,12,4.4,52,A
367402820,2023-01-19T00:00:08,30.23607,-91.31545,3.2,179.9,511,AFFIRMED,,WDE8208,31,Under way using its engine,22,9,,31,A
367427260,2023-01-19T00:00:01,29.99642,-93.94511,5.9,112.4,114,HOWARD BLANK,,WDF2314,31,Power-driven vessel pushing ahead/towing alongside,26,9,,31,A
366193000,2023-01-19T00:00:02,30.39427,-81.34733,9.1,103,99,SIGNET TITAN,IMO9183958,WDH4915,31,Under way using its engine,41,10,5.8,31,A
367363740,2023-01-19T00:00:03,29.84695,-90.06092,0,311.1,511,LADY CRYSTAL,,WDE5231,31,Under way using its engine,15,6,,0,A
366969740,2023-01-19T00:00:00,37.91429,-122.4086,0.1,183.2,511,SOLANA,IMO8992637,WCY5602,31,Under way using its engine,19,7,,52,A
303923000,2023-01-19T00:00:01,30.02652,-93.99938,0,218,13,CAPE VICTORY,IMO8211306,KAEY,70,Under way using its engine,192,26,8.5,70,A
